,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,2A,2B
NOMBRE,279926,254480,200439,119553,126885,730491,187567,137994,103104,152871,240414,171101,945002,386074,97475,187129,401305,171838,149018,270558,343575,86222,243400,261401,247596,273996,204152,507943,388468,626967,102923,758661,640874,491444,135048,298562,591351,142731,231466,175344,375030,136423,657798,321484,111852,175113,57836,365335,280995,276393,99787,149358,355345,97014,427526,483173,139904,1132422,346299,159423,673865,362155,364476,150572,320536,511136,353865,822200,121660,297921,278360,320825,452426,1355180,598413,558585,594993,183062,281342,196705,120086,660673,277833,387906,226955,210734,204264,189634,68501,505145,758971,618941,594616,466580,102753,114297
VACANT,7,19,7,85,12,75,7,79,5,74,8,34,8,26,8,64,8,67,8,53,8,05,9,73,6,60,5,31,10,40,9,58,6,70,10,15,10,33,7,64,7,40,12,38,9,01,6,81,7,67,6,13,7,03,7,00,8,06,6,85,9,57,6,13,7,34,6,46,10,77,6,97,6,33,8,56,6,35,9,09,8,75,10,71,5,04,7,66,9,12,9,77,8,69,6,30,7,20,7,55,10,62,7,73,8,17,9,68,6,40,7,50,10,77,6,00,6,00,9,06,5,81,9,95,6,60,8,01,7,46,6,84,8,49,6,90,8,86,8,83,7,74,5,40,5,97,7,47,6,04,6,09,5,19,7,41,6,80,8,79,9,26,5,93,8,98,4,62,9,03,8,36,9,25,9,40,6,90,5,31,6,21,5,25,5,20,4,95,4,22,3,66
