,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,2A,2B,
1,284,270,216,89,92,819,139,144,79,249,236,113,1465,447,76,167,383,260,161,349,358,58,226,372,361,350,257,511,429,894,114,1167,787,601,139,417,765,139,250,173,450,119,1051,439,115,210,33,466,249,521,88,132,409,94,418,645,97,1641,371,168,735,401,358,146,296,795,476,1591,105,311,373,370,556,4204,853,630,786,244,327,154,133,639,413,390,245,226,242,201,94,622,1493,672,641,531,110,112,
2,682,649,519,214,220,1966,333,347,189,598,567,271,3517,1074,183,400,919,623,386,838,860,138,541,894,866,840,618,1227,1029,2146,274,2803,1889,1444,333,1001,1836,333,601,415,1080,285,2524,1055,276,505,79,1120,598,1252,212,316,981,226,1004,1548,234,3940,891,403,1765,962,860,350,711,1909,1142,3821,251,747,897,888,1334,10093,2047,1512,1887,587,784,369,319,1534,993,936,589,541,581,482,226,1495,3584,1613,1540,1275,265,268,
3,218,207,165,68,70,627,106,111,60,191,181,86,1122,343,58,128,293,199,123,267,274,44,173,285,276,268,197,391,328,684,87,894,603,460,106,319,585,106,192,132,344,91,805,336,88,161,25,357,191,399,67,101,313,72,320,494,75,1256,284,129,563,307,274,112,227,609,364,1219,80,238,286,283,425,3219,653,482,602,187,250,118,102,489,317,299,188,173,185,154,72,477,1143,514,491,407,85,85,
4,74,70,56,23,24,213,36,38,20,65,61,29,381,116,20,43,100,68,42,91,93,15,59,97,94,91,67,133,112,232,30,304,205,156,36,108,199,36,65,45,117,31,273,114,30,55,9,121,65,136,23,34,106,24,109,168,25,427,97,44,191,104,93,38,77,207,124,414,27,81,97,96,145,1093,222,164,204,64,85,40,35,166,108,101,64,59,63,52,24,162,388,175,167,138,29,29,
5,356,338,270,112,115,1024,173,181,98,311,295,141,1832,560,96,209,479,325,201,436,448,72,282,466,451,438,322,639,536,1118,143,1460,984,752,173,522,956,173,313,216,563,148,1315,549,144,263,41,583,311,652,110,165,511,118,523,807,122,2053,464,210,920,501,448,182,370,995,595,1991,131,389,467,463,695,5258,1067,788,983,306,408,192,166,799,517,488,307,282,303,251,118,779,1867,840,802,664,138,140,
6,356,338,270,112,115,1024,173,181,98,311,295,141,1832,560,96,209,479,325,201,436,448,72,282,466,451,438,322,639,536,1118,143,1460,984,752,173,522,956,173,313,216,563,148,1315,549,144,263,41,583,311,652,110,165,511,118,523,807,122,2053,464,210,920,501,448,182,370,995,595,1991,131,389,467,463,695,5258,1067,788,983,306,408,192,166,799,517,488,307,282,303,251,118,779,1867,840,802,664,138,140,
7,74,70,56,23,24,213,36,38,20,65,61,29,381,116,20,43,100,68,42,91,93,15,59,97,94,91,67,133,112,232,30,304,205,156,36,108,199,36,65,45,117,31,273,114,30,55,9,121,65,136,23,34,106,24,109,168,25,427,97,44,191,104,93,38,77,207,124,414,27,81,97,96,145,1093,222,164,204,64,85,40,35,166,108,101,64,59,63,52,24,162,388,175,167,138,29,29,
8,74,70,56,23,24,213,36,38,20,65,61,29,381,116,20,43,100,68,42,91,93,15,59,97,94,91,67,133,112,232,30,304,205,156,36,108,199,36,65,45,117,31,273,114,30,55,9,121,65,136,23,34,106,24,109,168,25,427,97,44,191,104,93,38,77,207,124,414,27,81,97,96,145,1093,222,164,204,64,85,40,35,166,108,101,64,59,63,52,24,162,388,175,167,138,29,29,
9,74,70,56,23,24,213,36,38,20,65,61,29,381,116,20,43,100,68,42,91,93,15,59,97,94,91,67,133,112,232,30,304,205,156,36,108,199,36,65,45,117,31,273,114,30,55,9,121,65,136,23,34,106,24,109,168,25,427,97,44,191,104,93,38,77,207,124,414,27,81,97,96,145,1093,222,164,204,64,85,40,35,166,108,101,64,59,63,52,24,162,388,175,167,138,29,29,
