,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,2A,2B
CELIB,33,62,35,81,33,37,33,61,34,89,35,55,34,21,34,74,35,28,36,28,33,49,33,22,38,03,37,88,34,75,33,16,32,78,33,73,33,12,38,44,32,88,33,57,31,51,37,73,34,44,35,15,34,64,36,00,33,65,42,98,33,73,39,21,38,68,39,88,33,89,37,12,37,17,33,77,32,78,32,14,34,18,34,23,37,74,35,64,32,24,32,67,37,66,36,63,33,18,38,59,34,27,33,54,38,68,35,18,34,58,34,25,32,81,38,36,37,05,34,00,34,79,37,93,36,58,35,87,33,93,36,28,33,56,40,85,33,23,31,35,33,99,37,05,36,40,51,85,37,39,38,89,36,48,32,83,38,38,32,94,34,26,32,14,34,58,31,66,37,82,35,81,34,28,34,00,36,49,38,94,42,67,42,84,42,61,39,67,37,34,38,69
MARIE,52,17,48,13,47,89,48,39,47,94,45,61,49,88,49,27,46,65,47,39,48,54,51,08,45,32,46,80,48,99,49,71,49,31,49,14,48,88,46,04,50,46,47,17,49,96,47,61,49,60,49,78,51,00,47,95,49,10,42,86,48,88,45,04,44,89,47,22,48,52,47,93,48,55,49,87,50,32,51,38,50,21,50,47,48,53,49,68,50,16,49,21,47,51,50,20,51,20,46,38,48,98,52,84,45,81,48,97,49,78,50,25,47,92,46,36,48,96,49,87,49,27,45,85,47,04,46,51,47,07,49,61,51,42,44,88,50,60,51,71,50,80,47,42,49,15,35,18,47,09,48,12,50,48,52,36,46,32,50,15,49,29,49,67,48,61,54,22,47,04,47,33,49,12,48,74,47,38,48,04,43,60,44,70,43,46,47,57,45,58,45,63
DIVORCE,7,48,7,18,8,21,9,61,8,91,10,11,7,12,7,00,8,61,7,95,9,03,6,19,9,11,7,27,5,42,8,01,8,74,7,41,7,39,7,94,6,44,7,08,8,50,7,53,8,36,7,39,6,56,6,44,9,13,8,07,8,03,8,36,8,87,5,89,7,27,7,25,7,72,7,85,7,89,7,12,6,77,5,97,6,38,7,07,8,11,8,79,5,88,5,82,6,18,7,31,7,20,5,28,7,49,6,82,6,39,7,19,8,02,7,02,6,99,6,83,6,57,7,81,7,69,8,04,9,83,6,90,7,48,7,75,7,67,7,21,6,92,8,04,8,26,7,79,7,21,7,18,7,05,6,23,6,94,7,96,8,15,9,57,8,94,5,71,7,10,7,57,7,18,7,83,8,37,7,16,7,99,6,82,7,87,7,00,8,67,7,60
